RowID,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,lat,long
42,Glenallachie,1,3,1,0,0,1,1,0,1,2,2,2, AB38,-3.226743617,57.45547503
43,Glendronach,4,2,2,0,0,2,1,4,2,2,2,0, AB54,-2.648927487,57.49292029
44,Glendullan,3,2,1,0,0,2,1,2,1,2,3,2, AB55,-3.118017226,57.44804195
45,Glenfarclas,2,4,1,0,0,1,2,3,2,3,2,2, AB37,-3.318049104,57.42688393
46,Glenfiddich,1,3,1,0,0,0,0,0,0,2,2,2, AB55,-3.123496696,57.4528442
47,Glengoyne,1,2,0,0,0,1,1,1,2,2,3,2, G63,-4.362706468,56.01500167
48,Glenkinchie,1,2,1,0,0,1,2,0,0,2,2,2, EH34,-2.890845274,55.89011725
49,Glenlivet,2,3,1,0,0,2,2,2,1,2,2,3, AB37,-3.338116284,57.34240537
50,Glenlossie,1,2,1,0,0,1,2,0,1,2,2,2, IV30,-3.297192577,57.63264135
51,Glenmorangie,2,2,1,1,0,1,2,0,2,1,2,2, IV19,-4.0767346,57.82358488
52,Glenrothes,2,3,1,0,0,1,1,2,1,2,2,0, AB38,-3.209769888,57.52687711
53,Glenturret,2,3,1,0,0,2,2,2,2,2,1,2, PH7,-3.854193968,56.39060298
54,Highland Park,2,2,3,1,0,2,1,1,1,2,1,1, KW15,-2.952215482,58.96701022
55,Inchgower,1,3,1,1,0,2,2,0,1,2,1,2, AB56,-2.963519773,57.66194437
56,Isle of Jura,2,1,2,2,0,1,1,0,2,1,1,1, PA60,-5.951427767,55.83300623
57,Knochando,2,3,1,0,0,2,2,1,2,1,2,2, AB38,-3.343810121,57.45724597
58,Lagavulin,4,1,4,4,1,0,1,2,1,1,1,0, PA42,-6.125945577,55.63561374
59,Laphroig,4,2,4,4,1,0,0,1,1,1,0,0, PA42,-6.153128926,55.62956856
60,Linkwood,2,3,1,0,0,1,1,2,0,1,3,2, IV30,-3.297192577,57.63264135
61,Loch Lomond,1,1,1,1,0,1,1,0,1,2,1,2, G83,-4.576972723,55.99426023
62,Longmorn,3,2,1,0,0,1,1,1,3,3,2,3, IV30,-3.297192577,57.63264135
63,Macallan,4,3,1,0,0,2,1,4,2,2,3,1, AB38,-3.207376158,57.48476819
64,Mannochmore,2,1,1,0,0,1,1,1,2,1,2,2, IV30,-3.297192577,57.63264135
65,Miltonduff,2,4,1,0,0,1,0,0,2,1,1,2, IV30,-3.297192577,57.63264135
66,Mortlach,3,2,2,0,0,2,3,3,2,1,2,2, AB55,-3.118726736,57.44399317
67,Oban,2,2,2,2,0,0,2,0,2,2,2,0, PA34,-5.471832724,56.41525894
68,OldFettercairn,1,2,2,0,1,2,2,1,2,3,1,1, AB30,-2.479332351,56.8466258
69,OldPulteney,2,1,2,2,1,0,1,1,2,2,2,2, KW1,-3.085261374,58.43488448
70,RoyalBrackla,2,3,2,1,1,1,2,1,0,2,3,2, IV12,-3.905230532,57.53760987
71,RoyalLochnagar,3,2,2,0,0,2,2,2,2,2,3,1, AB35,-3.21860196,57.03448752
72,Scapa,2,2,1,1,0,2,1,1,2,2,2,2, KW15,-2.995421181,58.96372138
73,Speyburn,2,4,1,0,0,2,1,0,0,2,1,2, AB38,-3.222468916,57.54705703
74,Speyside,2,2,1,0,0,1,0,1,2,2,2,2, PH21,-4.002173683,57.08038682
75,Springbank,2,2,2,2,0,2,2,1,2,1,0,1, PA28,-5.600659207,55.42900142
76,Strathisla,2,2,1,0,0,2,2,2,3,3,3,2, AB55,-2.990864905,57.52387193
77,Strathmill,2,3,1,0,0,0,2,0,2,1,3,2, AB55,-2.959656162,57.54097418
78,Talisker,4,2,3,3,0,1,3,0,1,2,2,0, IV47,-6.352166071,57.30105105
79,Tamdhu,1,2,1,0,0,2,0,1,1,2,2,2, AB38,-3.348204879,57.45890592
80,Tamnavulin,1,3,2,0,0,0,2,0,2,1,2,3, AB37,-3.310354804,57.318711
81,Teaninich,2,2,2,1,0,0,2,0,0,0,2,2, IV17,-4.260287061,57.69168849
82,Tobermory,1,1,1,0,0,1,0,0,1,2,2,2, PA75,-6.069530472,56.62080598
83,Tomatin,2,3,2,0,0,2,2,1,1,2,0,1, IV13,-4.010031385,57.34110141
84,Tomintoul,0,3,1,0,0,2,2,1,1,2,1,2, AB37,-3.411082873,57.31268009
85,Tormore,2,2,1,0,0,1,0,1,2,1,0,0, PH26,-3.412995868,57.39710681
86,Tullibardine,2,3,0,0,1,0,2,1,1,2,2,1, PH4,-3.782289533,56.25929564
